day,S,I,R
0,499,1,0
1,493,7,0
2,471,28,1
3,386,109,5
4,189,300,11
5,34,432,34
6,8,417,75
7,3,381,116
8,0,352,148
9,0,321,179
10,0,282,218
11,0,256,244
12,0,223,277
13,0,203,297
14,0,187,313
15,0,172,328
16,0,154,346
17,0,140,360
18,0,124,376
19,0,118,382
20,0,111,389
21,0,95,405
22,0,84,416
23,0,75,425
24,0,65,435
25,0,61,439
26,0,61,439
27,0,55,445
28,0,50,450
29,0,46,454
30,0,40,460
31,0,31,469
32,0,27,473
33,0,22,478
34,0,20,480
35,0,18,482
36,0,18,482
37,0,17,483
38,0,15,485
39,0,14,486
40,0,13,487
41,0,11,489
42,0,11,489
43,0,9,491
44,0,9,491
45,0,9,491
46,0,5,495
47,0,4,496
48,0,3,497
49,0,3,497
50,0,3,497
51,0,3,497
52,0,3,497
53,0,3,497
54,0,3,497
55,0,2,498
56,0,2,498
57,0,1,499
58,0,1,499
59,0,1,499
60,0,1,499
61,0,1,499
62,0,1,499
63,0,1,499
64,0,1,499
65,0,1,499
66,0,1,499
67,0,0,500
