day,S,I,R
0,499,1,0
1,483,7,10
2,462,28,10
3,383,106,11
4,192,283,25
5,31,419,50
6,1,412,87
7,0,371,129
8,0,344,156
9,0,307,193
10,0,279,221
11,0,250,250
12,0,220,280
13,0,195,305
14,0,179,321
15,0,163,337
16,0,150,350
17,0,137,363
18,0,122,378
19,0,112,388
20,0,98,402
21,0,93,407
22,0,88,412
23,0,82,418
24,0,69,431
25,0,61,439
26,0,55,445
27,0,48,452
28,0,40,460
29,0,37,463
30,0,35,465
31,0,35,465
32,0,34,466
33,0,30,470
34,0,28,472
35,0,26,474
36,0,23,477
37,0,23,477
38,0,19,481
39,0,18,482
40,0,14,486
41,0,13,487
42,0,12,488
43,0,8,492
44,0,5,495
45,0,5,495
46,0,5,495
47,0,3,497
48,0,3,497
49,0,2,498
50,0,2,498
51,0,2,498
52,0,2,498
53,0,2,498
54,0,1,499
55,0,1,499
56,0,1,499
57,0,1,499
58,0,1,499
59,0,1,499
60,0,1,499
61,0,1,499
62,0,1,499
63,0,1,499
64,0,1,499
65,0,0,500
